Iteration 188, Temperature 748207.03, New Cost 43249021.0, Current Cost 43249021.00, Best Cost 41395607.00, Elapsed Time 198.07 seconds
Iteration 189, Temperature 740724.96, New Cost 44244293.0, Current Cost 43249021.00, Best Cost 41395607.00, Elapsed Time 199.08 seconds
Iteration 190, Temperature 733317.71, New Cost 44249021.0, Current Cost 43249021.00, Best Cost 41395607.00, Elapsed Time 200.08 seconds
Iteration 191, Temperature 725984.53, New Cost 44249021.0, Current Cost 44249021.00, Best Cost 41395607.00, Elapsed Time 201.08 seconds
Iteration 192, Temperature 718724.69, New Cost 43707892.0, Current Cost 43707892.00, Best Cost 41395607.00, Elapsed Time 202.07 seconds
Iteration 193, Temperature 711537.44, New Cost 44549021.0, Current Cost 43707892.00, Best Cost 41395607.00, Elapsed Time 203.06 seconds
Iteration 194, Temperature 704422.06, New Cost 44671152.0, Current Cost 43707892.00, Best Cost 41395607.00, Elapsed Time 204.07 seconds
Iteration 195, Temperature 697377.84, New Cost 44508718.0, Current Cost 43707892.00, Best Cost 41395607.00, Elapsed Time 205.08 seconds
Iteration 196, Temperature 690404.07, New Cost 42807892.0, Current Cost 42807892.00, Best Cost 41395607.00, Elapsed Time 206.07 seconds
Iteration 197, Temperature 683500.02, New Cost 41807892.0, Current Cost 41807892.00, Best Cost 41395607.00, Elapsed Time 207.04 seconds
Iteration 198, Temperature 676665.02, New Cost 42707892.0, Current Cost 42707892.00, Best Cost 41395607.00, Elapsed Time 208.01 seconds
Iteration 199, Temperature 669898.37, New Cost 43299021.0, Current Cost 43299021.00, Best Cost 41395607.00, Elapsed Time 209.00 seconds
Iteration 200, Temperature 663199.39, New Cost 42707892.0, Current Cost 42707892.00, Best Cost 41395607.00, Elapsed Time 209.99 seconds
Iteration 201, Temperature 656567.40, New Cost 43707892.0, Current Cost 43707892.00, Best Cost 41395607.00, Elapsed Time 210.99 seconds
Iteration 202, Temperature 650001.72, New Cost 44133820.0, Current Cost 44133820.00, Best Cost 41395607.00, Elapsed Time 211.98 seconds
